Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-023198,2020-08,06/01/2020 11:10,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,761,WALTON AVE,53, ,STREET,4949, ,889411.3,1026708
20-032105,2020-08,06/01/2020 12:00,Y, , ,1, ,101000,6,FORGERY,5940,ALPHA AVE,73, , ,5940,ALPHA,891500.6,1048577
20-037378,2020-08,06/01/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,1019,N SKINKER PKWY,48, , ,1019,SKINKER,878976.1,1030954
20-036201,2020-08,06/01/2020 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1254,MCLARAN AVE,74, , ,1254,MCLARAN,895285.8,1049443
20-035165,2020-08,06/01/2020 13:30,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,0,COURTOIS ST / MINNESOTA AVE,2, , , , ,888466,988176.4
20-038122,2020-08,06/01/2020 21:00,Y, , ,1, , 69602,5,"LARCENY-ALL OTHER $500 - $24,999",1220,JONES ST,58, , ,1220,JONES,895918.1,1025136
20-034559,2020-08,06/01/2020 22:30,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1704,PRESERVATION PL,61, , ,1704,PRESERVATION,906189.8,1022184
20-023297,2020-08,06/01/2020 23:36,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,N 17TH ST / OLIVE ST,36, , , , ,904673.6,1018828
20-023525,2020-08,06/02/2020 03:45,Y, , ,1, , 52212,4,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,3410,LOCUST ST,77,MOTOEUROPA, ,3410,LOCUST,897742.5,1020861
20-023702,2020-08,06/03/2020 10:27,Y, , ,1, , 51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,5898,DELMAR BLVD,46, , ,5898,DELMAR,880077.9,1027128
20-034890,2020-08,06/03/2020 16:31,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,3700,HOLLY HILLS AVE,1,CARONDELET PARK, ,7815,BROADWAY,889343.3,992254.1
20-024009,2020-08,06/04/2020 20:33,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4188,FARLIN AVE,68, ,2ND FLR,4188,FARLIN,897395.8,1033050
20-024080,2020-08,06/05/2020 11:20,Y, , ,1, , 43011,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,4111,LINDELL BLVD,38, , , , ,892822,1021958
20-024108,2020-08,06/05/2020 13:20,Y, , ,1, , 52112,5,BURGLARY-BUSINESS/DAY/FORCE ENT/UNOCCUPIED,4955,DR MARTIN LUTHER KING DR,55, ,#1150777,4955,DR MARTIN LUTHER KING,888659.5,1030338
20-038646,2020-08,06/07/2020 09:18,Y, , ,1, ,112010,1,FRAUD-CREDIT DEVICE/OVER $150,3622,KEOKUK ST,16, , ,3622,KEOKUK,892871.1,1002360
20-034744,2020-08,06/09/2020 11:49,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,5547,MIMIKA AVE,76, , ,5547,MIMIKA,890015.1,1046776
20-035619,2020-08,06/09/2020 13:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3303,MISSOURI AVE,22, , ,3303,MISSOURI,899325.5,1005461
